indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
1998-07-01,396.0,1470.0,2047.0,950.0,1535.0,580.0,680.0,517.0,1022.0,1687.0,688.0,530.0,756.0,739.0,806.0
1998-08-01,399.0,1394.0,1988.0,952.0,1561.0,575.0,683.0,518.0,1032.0,1706.0,687.0,532.0,757.0,741.0,809.0
1998-09-01,402.0,1484.0,1997.0,946.0,1534.0,582.0,680.0,518.0,1029.0,1681.0,684.0,532.0,759.0,740.0,803.0
1998-10-01,400.0,1628.0,2037.0,947.0,1548.0,597.0,680.0,520.0,1035.0,1721.0,693.0,532.0,761.0,743.0,813.0
1998-11-01,400.0,1573.0,2023.0,950.0,1566.0,576.0,688.0,519.0,1037.0,1728.0,693.0,535.0,765.0,745.0,811.0
1998-12-01,401.0,1397.0,2010.0,959.0,1605.0,577.0,688.0,525.0,1050.0,1702.0,696.0,538.0,787.0,751.0,813.0
1999-01-01,401.0,1526.0,2076.0,943.0,1548.0,576.0,687.0,521.0,1043.0,1650.0,692.0,536.0,737.0,751.0,808.0
1999-02-01,401.0,1589.0,2082.0,950.0,1568.0,574.0,686.0,519.0,1028.0,1720.0,693.0,535.0,769.0,755.0,811.0
1999-03-01,405.0,1361.0,1763.0,946.0,1602.0,574.0,689.0,522.0,1031.0,1690.0,693.0,535.0,771.0,757.0,809.0
1999-04-01,404.0,1497.0,2039.0,951.0,1553.0,567.0,681.0,518.0,1028.0,1746.0,695.0,537.0,765.0,756.0,811.0
1999-05-01,403.0,1395.0,1898.0,953.0,1540.0,571.0,684.0,517.0,1039.0,1714.0,699.0,536.0,766.0,757.0,809.0
1999-06-01,408.0,1331.0,2230.0,956.0,1553.0,572.0,689.0,522.0,1041.0,1685.0,696.0,544.0,775.0,766.0,812.0
1999-07-01,402.0,1524.0,1935.0,950.0,1565.0,570.0,685.0,518.0,1038.0,1700.0,696.0,536.0,766.0,759.0,808.0
1999-08-01,401.0,1457.0,1996.0,955.0,1560.0,578.0,688.0,516.0,1035.0,1719.0,698.0,537.0,766.0,761.0,811.0
1999-09-01,399.0,1312.0,1993.0,959.0,1555.0,580.0,688.0,516.0,1035.0,1767.0,700.0,538.0,762.0,765.0,811.0
1999-10-01,398.0,1331.0,1957.0,965.0,1558.0,585.0,689.0,516.0,1007.0,1698.0,701.0,540.0,767.0,768.0,813.0
1999-11-01,397.0,1411.0,1979.0,962.0,1564.0,589.0,692.0,518.0,1036.0,1743.0,705.0,538.0,766.0,766.0,816.0
1999-12-01,398.0,1332.0,2026.0,965.0,1572.0,591.0,695.0,522.0,1054.0,1716.0,705.0,539.0,785.0,774.0,818.0
2000-01-01,396.0,1372.0,2025.0,973.0,1574.0,588.0,691.0,515.0,1052.0,1754.0,701.0,535.0,766.0,763.0,821.0
2000-02-01,379.0,1548.0,1997.0,948.0,1518.0,572.0,659.0,493.0,1043.0,1700.0,678.0,518.0,744.0,734.0,791.0
2000-03-01,393.0,1793.0,2040.0,979.0,1562.0,582.0,681.0,513.0,1040.0,1755.0,702.0,535.0,766.0,761.0,818.0
2000-04-01,388.0,1722.0,2202.0,977.0,1569.0,580.0,697.0,510.0,1037.0,1883.0,714.0,537.0,765.0,762.0,827.0
2000-05-01,393.0,1505.0,1943.0,959.0,1571.0,569.0,684.0,514.0,1041.0,1754.0,709.0,536.0,765.0,768.0,813.0
2000-06-01,391.0,1589.0,1995.0,970.0,1565.0,582.0,687.0,517.0,1049.0,1726.0,711.0,541.0,768.0,782.0,817.0
2000-07-01,387.0,1401.0,1988.0,970.0,1567.0,569.0,684.0,513.0,1052.0,1741.0,714.0,537.0,777.0,767.0,818.0
2000-08-01,387.0,1558.0,1984.0,965.0,1572.0,572.0,684.0,511.0,1054.0,1741.0,712.0,537.0,761.0,766.0,814.0
2000-09-01,384.0,1411.0,2015.0,965.0,1576.0,563.0,682.0,511.0,1051.0,1843.0,712.0,537.0,766.0,763.0,818.0
2000-10-01,389.0,1570.0,1989.0,964.0,1571.0,569.0,683.0,508.0,1051.0,1753.0,715.0,538.0,763.0,762.0,816.0
